Site Name,Nature of Work,ISO Cause Code
King Creek 2,Transformer Repair/Replace,Plant Derate
Maverick 4,METERING_TELEMETRY,Plant Derate
Pacific Wind,PLANT_MAINTENANCE,Plant Derate
Catalina 1,PLANT_TROUBLE,Plant Derate
Milligan 1,Plant Derate,U - Upgrade
Bull Creek,Other,Plant Derate
Kelly Creek,Plant Derate,Plant Derate
Karen Avenue,PLANT_MAINTENANCE,Plant Derate
Slate Creek,Plant Derate,OTR - Other
Pacific Wind,METERING_TELEMETRY,Plant Derate
Pacific Wind,METERING_TELEMETRY,Plant Derate
Slate Creek,Plant Derate,OTR - Other
Slate Creek,Plant Derate,OTR - Other
Karen Avenue,PLANT_MAINTENANCE,Plant Derate
Kelly Creek,Plant Derate,Plant Derate
Bull Creek,Other,Plant Derate
Karen Avenue,PLANT_MAINTENANCE,Plant Derate
Karen Avenue,PLANT_MAINTENANCE,Plant Derate
Pacific Wind,PLANT_MAINTENANCE,Plant Derate
Desert Harvest 1,METERING_TELEMETRY,Plant Derate
Kelly Creek,Plant Derate,Plant Derate
Shiloh 2,PLANT_MAINTENANCE,Plant Derate
Pacific Wind,METERING_TELEMETRY,Plant Derate
Shiloh 2,PLANT_TROUBLE,Plant Derate
Milligan 1,Plant Derate,U - Upgrade
Catalina 1,PLANT_TROUBLE,Plant Derate
Karen Avenue,PLANT_MAINTENANCE,Plant Derate
Maverick 1,METERING_TELEMETRY,Plant Derate
Pland Derate,Plant Derate,Plant Derate
Karen Avenue,PLANT_MAINTENANCE,Plant Derate
Pacific Wind,METERING_TELEMETRY,Plant Derate
Bull Creek,Other,Plant Derate
Maverick 6,METERING_TELEMETRY,Plant Derate
King Creek 2,Transformer Repair/Replace,Plant Derate
Pacific Wind,METERING_TELEMETRY,Plant Derate
Karen Avenue,PLANT_MAINTENANCE,Plant Derate
Catalina 1,PLANT_TROUBLE,Plant Derate
Maverick 7,METERING_TELEMETRY,Plant Derate
Kelly Creek,Plant Derate,Plant Derate
Karen Avenue,PLANT_MAINTENANCE,Plant Derate
Catalina 1,PLANT_TROUBLE,Plant Derate
Milligan 1,Plant Derate,U - Upgrade
Hereford,Other,Plant Derate
Shiloh 2,PLANT_TROUBLE,Plant Derate
Pacific Wind,METERING_TELEMETRY,Plant Derate
Shiloh 3,PLANT_MAINTENANCE,Plant Derate
Kelly Creek,Plant Derate,Plant Derate
Pacific Wind,METERING_TELEMETRY,Plant Derate
Pacific Wind,METERING_TELEMETRY,Plant Derate
Catalina 1,PLANT_TROUBLE,Plant Derate
Kelly Creek,Plant Derate,Plant Derate
Karen Avenue,PLANT_MAINTENANCE,Plant Derate
Hereford,Other,Plant Derate
Pland Derate,Plant Derate,Plant Derate
Pland Derate,Plant Derate,Plant Derate
Shiloh 4,PLANT_MAINTENANCE,Plant Derate
La Brisa,PLANT_MAINTENANCE,Plant Derate
Pland Derate,Plant Derate,Plant Derate
Karen Avenue,PLANT_MAINTENANCE,Plant Derate
Hereford,Other,Plant Derate
Karen Avenue,PLANT_MAINTENANCE,Plant Derate
Kelly Creek,Plant Derate,Plant Derate
Catalina 1,PLANT_TROUBLE,Plant Derate
Pacific Wind,METERING_TELEMETRY,Plant Derate
Milligan 1,Plant Derate,U - Upgrade
Catalina 1,PLANT_TROUBLE,Plant Derate
Karen Avenue,PLANT_MAINTENANCE,Plant Derate
King Creek 2,Transformer Repair/Replace,Plant Derate
Karen Avenue,PLANT_MAINTENANCE,Plant Derate
Pland Derate,Plant Derate,Plant Derate
Desert Harvest 2,METERING_TELEMETRY,Plant Derate
Karen Avenue,PLANT_MAINTENANCE,Plant Derate
Milligan 1,Plant Derate,U - Upgrade
Karen Avenue,PLANT_MAINTENANCE,Plant Derate
Pacific Wind,PLANT_MAINTENANCE,Plant Derate
Kelly Creek,Plant Derate,Plant Derate
Kelly Creek,Plant Derate,Plant Derate
Pacific Wind,PLANT_MAINTENANCE,Plant Derate
Milligan 1,Plant Derate,U - Upgrade
Pacific Wind,METERING_TELEMETRY,Plant Derate
Pland Derate,Plant Derate,Plant Derate
Pland Derate,Plant Derate,Plant Derate
